status,country,from_name,to_name,reason,score,occurrences,sample_files,,
approve,RUS,Fomin Daniil,Daniil Fomin,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,SRB,Marija Cosia,Marija Cosic,iof-exact,exact,3,"2007/long.csv, 2007/relay.csv, 2007/sprint.csv",,
approve,SRB,Marko Stevanovia,Marko Stevanovic,iof-exact,exact,3,"2007/long.csv, 2007/relay.csv, 2007/sprint.csv",,
approve,SUI,Sara Luscher,Sara Luescher,iof-exact,exact,2,"2002/relay.csv, 2003/relay.csv",,
approve,SVK,Tobias Goldsmidt,Tobias Goldschmidt,iof-exact,exact,3,"2016/long.csv, 2016/relay.csv, 2016/sprint.csv",,
approve,SVK,Jana MacInska,Jana Macinska,iof-exact,exact,1,2002/relay.csv,,
approve,SWE,Erika Kallvik Leufven,Erika Kaellvik Leufven,iof-exact,exact,2,"2017/long.csv, 2017/sprint.csv",,
approve,SWE,Berzell Love,Love Berzell,iof-exact,exact,1,2010/relay.csv,,
approve,SWE,Emilsson Emma,Emma Emilsson,iof-exact,exact,1,2022/relay.csv,,
approve,SWE,Heinrup Rebecka,Rebecka Heinrup,iof-exact,exact,1,2010/relay.csv,,
approve,TUR,Ozge Bozga,Ozge Bozca,iof-exact,exact,1,2016/sprint.csv,,
approve,UKR,Hoienko Mariia,Mariia Hoienko,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,UKR,Stanislav Polianyatsia,Stanislav Polianytsia,iof-exact,exact,3,"2015/long.csv, 2015/relay.csv, 2015/sprint.csv",,
approve,UKR,Teremetskyi Tymofii,Tymofii Teremetskyi,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,UKR,Tsyvilska Feia,Feia Tsyvilska,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,UKR,Zviahin Mykyta,Mykyta Zviahin,iof-exact,exact,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Georg Groll,Georg Groell,iof-fuzzy,dist=1 ratio=0.96,8,"2014/relay.csv, 2014/sprint.csv, 2015/long.csv, 2015/relay.csv",,
approve,AUT,Tina Tiefenbock,Tina Tiefenboeck,iof-fuzzy,dist=1 ratio=0.97,8,"2014/long.csv, 2014/sprint.csv, 2015/long.csv, 2015/relay.csv",,
approve,AUT,Anna Nilsson-Simkovics,Anna Nilsson Simkovics,iof-fuzzy,dist=1 ratio=0.95,5,"2010/long.csv, 2010/sprint.csv, 2011/long.csv, 2011/relay.csv",,
approve,AUT,Groell Georg,Georg Groell,iof-fuzzy,dist=0 ratio=1.00,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,AUT,Tiefenboeck Tina,Tina Tiefenboeck,iof-fuzzy,dist=0 ratio=1.00,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,BEL,Thiels Hannah,Hannah Thiels,iof-fuzzy,dist=0 ratio=1.00,3,"2017/long.csv, 2017/relay.csv, 2017/sprint.csv",,
approve,CZE,Martina Jiraskova,Martina Jircakova,iof-fuzzy,dist=2 ratio=0.94,2,"2005/long.csv, 2005/sprint.csv",,
approve,DEN,Eva Ornhagen Jorgensen,Eva Ornhagen Joergensen,iof-fuzzy,dist=1 ratio=0.98,6,"2018/long.csv, 2018/relay.csv, 2018/sprint.csv, 2019/long.csv",,
approve,DEN,Ida Obro,Ida Oebro,iof-fuzzy,dist=1 ratio=0.94,6,"2014/long.csv, 2014/relay.csv, 2014/sprint.csv, 2015/long.csv",,
approve,DEN,Oscar David Brom Jensen,Oscar David Broman Jensen,iof-fuzzy,dist=2 ratio=0.96,6,"2018/long.csv, 2018/relay.csv, 2018/sprint.csv, 2019/long.csv",,
approve,DEN,Alberte Kaae-Nielsen,Alberte Kaae Nielsen,iof-fuzzy,dist=1 ratio=0.95,4,"2016/long.csv, 2016/sprint.csv, 2017/long.csv, 2017/sprint.csv",,
approve,DEN,Miri Thrane Odum,Miri Thrane Oedum,iof-fuzzy,dist=1 ratio=0.97,4,"2010/relay.csv, 2011/long.csv, 2011/relay.csv, 2011/sprint.csv",,
approve,DEN,Agnes Norgard Kracht,Agnes Noergaard Kracht,iof-fuzzy,dist=2 ratio=0.95,3,"2015/long.csv, 2015/relay.csv, 2015/sprint.csv",,
approve,DEN,Marius Thrane Odum,Marius Thrane Oedum,iof-fuzzy,dist=1 ratio=0.97,3,"2008/long.csv, 2008/relay.csv, 2008/sprint.csv",,
approve,DEN,Emil Obro,Emil Oebro,iof-fuzzy,dist=1 ratio=0.95,2,"2014/long.csv, 2014/sprint.csv",,
approve,DEN,Lotte Jauhojarvi Markusse,Lotte Jauhojarvi Markussen,iof-fuzzy,dist=1 ratio=0.98,2,"2017/long.csv, 2017/sprint.csv",,
