IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
15254;Matyas;Pentek;HUN;1371;3266;3;1088.7;
28550;Mischa;Lubasch;SUI;1372;3265;3;1088.3;
9068;Moritz;Mueller;GER;1373;3263;3;1087.7;
47297;Lauri;Lakanen;FIN;1374;3262;3;1087.3;
43629;Jett;Mccomb;AUS;1375;3259;3;1086.3;
54405;Giulio;Simonetti;ITA;1376;3254;3;1084.7;
14693;Ionut;Patras;ROU;1376;3254;4;813.5;
11805;Daniel;Klauser;SUI;1378;3252;3;1084.0;
41217;Ryan;Moore;NZL;1379;3249;3;1083.0;
42374;Ervin;Vigh;ROU;1379;3249;3;1083.0;
33339;Martin;Scheuermann;GER;1381;3246;3;1082.0;
52198;Viktor;West;FIN;1382;3245;3;1081.7;
8146;David;Buerge;SUI;1382;3245;3;1081.7;
43154;Jiri;Kostka;CZE;1384;3239;3;1079.7;
36091;Eoghan;Whelan;IRL;1385;3238;3;1079.3;
24854;Dag;Stridh;SWE;1386;3235;3;1078.3;
27919;Tom;Wood;GBR;1387;3234;3;1078.0;
44382;Lorenz;Brandl;GER;1387;3234;4;808.5;
41136;Ole Gunnar;Kleppa Madslien;NOR;1387;3234;3;1078.0;
42149;Arthur;Perrin;FRA;1390;3233;3;1077.7;
22078;Are;Wigaard;NOR;1391;3232;3;1077.3;
47554;Roope;Ruuhiala;FIN;1392;3230;3;1076.7;
27068;Caj;Snickars;FIN;1392;3230;3;1076.7;
36950;Ole Jorgen;Bogen Arenth;NOR;1394;3229;3;1076.3;
24811;Marcin;Biederman;POL;1394;3229;3;1076.3;
36588;Oliver;Tonge;GBR;1394;3229;3;1076.3;
34543;Grant;Reinbott;AUS;1397;3228;3;1076.0;
18064;Oyvind;Wiggen;NOR;1398;3226;3;1075.3;
13089;Magnus;Maag;DEN;1399;3223;3;1074.3;
52293;Riccardo;Granzotto;ITA;1400;3220;3;1073.3;
42813;Paul;Leduc;FRA;1401;3219;3;1073.0;
42296;Edvards;Zvirgzdins;LAT;1402;3215;3;1071.7;
54979;Elis;Peterson;SWE;1403;3213;3;1071.0;
44454;Niklas;Ochenbauer;AUT;1404;3208;3;1069.3;
40810;Juha;Korpio;FIN;1404;3208;3;1069.3;
54530;Anthony;Themines;FRA;1406;3205;3;1068.3;
44874;Tibor;Waeber;SUI;1406;3205;3;1068.3;
13474;Alasdair;McLeod;GBR;1406;3205;3;1068.3;
46410;Viktor;Holmgren;SWE;1409;3203;3;1067.7;
18689;Rafael;Miguel;POR;1410;3201;3;1067.0;
43051;Jason;Brown;NZL;1411;3198;4;799.5;
52854;Mehmet Sait;Demiroglu;TUR;1412;3196;4;799.0;
27554;Harry;McMurtrie;GBR;1412;3196;3;1065.3;
14775;Janis;Peilans;LAT;1414;3190;3;1063.3;
46921;Gustav;Greiner;AUT;1415;3189;3;1063.0;
32885;Luan Rodrigo;Ferreira de Oliveira;BRA;1415;3189;4;797.3;
13441;Marius;Mazulis;LTU;1417;3182;3;1060.7;
11199;Thomas Greve;Jensen;DEN;1418;3180;3;1060.0;
37681;Almos Huba;Fulop;HUN;1419;3177;3;1059.0;
45320;Michael;Bishenden;GBR;1420;3175;3;1058.3;
47083;Zsigmond;Jambor;HUN;1421;3173;3;1057.7;
47424;Juuso;Ekola;FIN;1422;3170;3;1056.7;
21621;Matthew;Leitch;GBR;1423;3165;4;791.3;
48329;Vitor;Barreiro;POR;1424;3164;3;1054.7;
53256;Rasmus;Lindblom;SWE;1425;3163;3;1054.3;
48567;Blake;McKinnon;NZL;1426;3158;3;1052.7;
41981;Jorn;Kennis;BEL;1427;3156;3;1052.0;
49739;Man Hay;Lo;HKG;1428;3154;5;630.8;
47552;Santeri;Ahoniemi;FIN;1429;3153;3;1051.0;
37812;Lars;Solli;NOR;1430;3150;3;1050.0;
43707;Henning;Strand;NOR;1431;3137;3;1045.7;
33556;Karlis;Stradins;LAT;1432;3136;3;1045.3;
55075;Vojtech;Gryc;CZE;1432;3136;3;1045.3;
54401;Robin;Garnier;FRA;1434;3133;3;1044.3;
50595;Emil;Friedlaender;GER;1435;3132;3;1044.0;
45334;James;Wright;NZL;1436;3131;3;1043.7;
27254;Jack;Kosky;GBR;1437;3128;3;1042.7;
34745;Roelof;Posthouwer;NED;1438;3126;4;781.5;
51879;Joakim;Oestergaard;DEN;1439;3123;3;1041.0;
54513;Mathis;Nicole Desmau;FRA;1440;3122;3;1040.7;
52802;Mykhailo;Tatarnikov;UKR;1441;3119;3;1039.7;
40199;Simon;Bakker;CAN;1442;3118;4;779.5;
41236;Soren;Skaug;DEN;1443;3117;3;1039.0;
48920;Vertti;Myllarinen;FIN;1443;3117;3;1039.0;
31977;Brian;Odermatt;SUI;1445;3114;3;1038.0;
11007;Go;Inamori;JPN;1446;3112;3;1037.3;
41964;Jonathan;Uller;SWE;1447;3110;3;1036.7;
37300;Niilo;Syrjala;FIN;1448;3107;3;1035.7;
46027;Elye;Dent;AUS;1449;3106;3;1035.3;
46977;Gustav;Holmberg;DEN;1449;3106;3;1035.3;
7164;Apostol;Atanasov;BUL;1451;3105;3;1035.0;
39100;Yanis;Luetzelschwab;SUI;1452;3104;3;1034.7;
9005;Ercan;Dudak;TUR;1452;3104;3;1034.7;
43645;Ewan;Bennett;GBR;1454;3102;3;1034.0;
53093;Ramojus;Lapinskas;LTU;1455;3101;3;1033.7;
10633;Maciej;Hewelt;POL;1456;3089;3;1029.7;
38079;Bartlomiej;Maciejewski;POL;1457;3087;3;1029.0;
49568;Silvan;Schletti;SUI;1458;3083;3;1027.7;
51323;Souichiro;Horii;JPN;1459;3082;3;1027.3;
36962;Gabriel Dufles;Lima;BRA;1459;3082;5;616.4;
36458;Daniel;Weaver;GBR;1461;3081;3;1027.0;
54511;Clement;Battista;FRA;1462;3078;3;1026.0;
14498;Hirokazu;Osaki;JPN;1463;3074;3;1024.7;
28588;Aidan;Minto;USA;1463;3074;4;768.5;
