IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point;Region Pos
44506;Neza;Obid;SLO;688;3925;4;981.3;
27864;Sophie;Pruzina;GBR;689;3923;5;784.6;
47797;Yuka;Kadomoto;JPN;690;3922;4;980.5;
43702;Liana;Stubbs;AUS;690;3922;4;980.5;
32226;Joanna;George;AUS;692;3904;4;976.0;
46172;Kaline;Resende;BRA;693;3893;5;778.6;
20427;Andrea;Dekany;HUN;694;3873;4;968.3;
6523;Sze Wing;Yee;HKG;695;3865;5;773.0;
48069;Georgia;Lindroos;NZL;696;3863;4;965.8;
50588;Yulia;Georgieva;BUL;697;3845;4;961.3;
40206;Paige;Suhocki;USA;698;3836;5;767.2;
35117;Yiu;Yiu;HKG;699;3813;5;762.6;
41224;Anna;CoryWright;NZL;700;3806;5;761.2;
21090;Camila Luisa;Daronco;BRA;701;3791;5;758.2;
300;Yoko;Bamba;JPN;702;3784;4;946.0;
4271;Shihoko;Ochiai;JPN;703;3778;4;944.5;
47952;Chihiro;Kawase;JPN;704;3768;4;942.0;
43244;Adrija;Atgalaine;LTU;705;3749;4;937.3;
20929;Idunn;Haavengen;NOR;706;3747;4;936.8;
51202;Joshui;Lin;TPE;707;3746;5;749.2;
52723;Luiza;Wachtmann Rizzatti;BRA;708;3733;5;746.6;
47656;Ana;Koeche;BRA;709;3727;5;745.4;
47024;Freja;Hjerne;SWE;710;3721;3;1240.3;
24003;Eadaoin;McCavana;IRL;711;3713;4;928.3;
22886;Emma;Bjessmo;SWE;712;3685;3;1228.3;
47281;Akiho;Hayashi;JPN;713;3681;4;920.3;
41012;Isabella;Resende de Carvalho;BRA;714;3676;5;735.2;
53224;Sara;Szalontai;HUN;715;3673;4;918.3;
4057;Elin;Svantesson;SWE;716;3667;3;1222.3;
41931;Emma;Eriksson;SWE;717;3636;3;1212.0;
41327;Elli;Punto;FIN;718;3624;3;1208.0;
37832;Andreea;Manu;ROU;719;3606;4;901.5;
42426;Zdenka Petra;Stambuk;CRO;720;3603;4;900.8;
33949;Ella;Sjoberg;SWE;721;3590;3;1196.7;
41008;Natalija;Tatic;SRB;722;3585;4;896.3;
731;Synnoeve;Palmqvist;NOR;723;3581;3;1193.7;
43757;Miki;Haoka;JPN;724;3577;4;894.3;
44448;Eleonora;Alinder;SWE;725;3576;3;1192.0;
32410;Juliane;Heinrichs Peres;BRA;726;3571;4;892.8;
39614;Klara;Borg;SWE;727;3568;3;1189.3;
5125;Frida;Sandberg;SWE;728;3561;3;1187.0;
47847;Jerika;Kong;HKG;728;3561;5;712.2;
6720;Johanna;Oberg;SWE;730;3555;3;1185.0;
36956;Ida;Hylander;SWE;731;3541;3;1180.3;
24020;Laura;King;GBR;732;3538;3;1179.3;
48757;Beata;Cichy;POL;733;3532;5;706.4;
49675;Agnes;Djurstedt;SWE;734;3530;3;1176.7;
4800;Laura;Ramstein;AUT;735;3529;3;1176.3;
34090;Marketa;Mulickova;CZE;736;3527;3;1175.7;
33701;Ragnhild;Eide;NOR;737;3525;3;1175.0;
2941;Nicoline Friberg;Klysner;DEN;738;3518;3;1172.7;
21522;Elizabeth;Bedwell;GBR;739;3506;4;876.5;
24823;Roosa;Hamalainen;FIN;740;3504;3;1168.0;
2678;Ursula;Fesselhofer;AUT;741;3499;3;1166.3;
2570;Marttiina;Joensuu;FIN;742;3493;3;1164.3;
37652;Vera;Moser;SUI;743;3491;3;1163.7;
33861;Aurora;Gjolsjo;NOR;744;3482;3;1160.7;
2356;Johanna;Hulkkonen;FIN;744;3482;3;1160.7;
33871;Gina;Granstedt;NOR;746;3481;3;1160.3;
40324;Tale;Strand;NOR;747;3478;3;1159.3;
19628;Milla;Mattila;FIN;748;3477;3;1159.0;
41979;Tille;De Smul;BEL;749;3461;3;1153.7;
19077;Cecilie;Andersen;GBR;750;3460;3;1153.3;
20222;Marta;Guijo Alonso;ESP;750;3460;3;1153.3;
46971;Rahel;Good;SUI;752;3454;3;1151.3;
20205;Sina;Tommer;SUI;753;3452;3;1150.7;
53251;Vilma;Engstrom;SWE;754;3434;3;1144.7;
1909;Yvonne;Gunell;FIN;755;3433;3;1144.3;
3090;Zdenka;Kozakova;CZE;755;3433;3;1144.3;
20921;Emilie;Westli Andersen;NOR;757;3410;3;1136.7;
279;Anette;Juveli;NOR;758;3407;3;1135.7;
46253;Daniel;Buchholz;USA;759;3399;4;849.8;
25101;Milla;Hirvonen;FIN;760;3396;3;1132.0;
25804;Nina;Falck Najbjerg;DEN;760;3396;3;1132.0;
49788;Nana;Ogawa;JPN;762;3394;4;848.5;
45838;Lotta Marit;Luethi;SUI;762;3394;3;1131.3;
33902;Romane;Lesquer;FRA;764;3393;3;1131.0;
6557;Viola;Zagonel;ITA;765;3392;3;1130.7;
51490;Erika;Kawauchi;JPN;766;3388;4;847.0;
49900;Tomomi;Onozuka;JPN;767;3383;4;845.8;
45856;Amanda;Yli Futka;FIN;768;3377;3;1125.7;
54507;Emie;Vannier;FRA;769;3374;3;1124.7;
42807;Lucile;Roger;FRA;770;3370;3;1123.3;
6308;Mari;Vaananen;FIN;771;3359;3;1119.7;
53254;Emmy;Palm;SWE;772;3358;3;1119.3;
42241;Antonina;Slonska;POL;773;3354;3;1118.0;
41866;Sofia;Ivers;SWE;774;3353;3;1117.7;
48447;Anna;Drinkwater;GBR;774;3353;4;838.3;
